fips,county,time,state,ind(not needed),inter,intra,ind_r
1025,Clarke,4,AL,11,0.798242706,1.28191313,45.59018568
1025,Clarke,8,AL,59,1.126906499,1.373093501,244.5291777
1025,Clarke,12,AL,374,1.109499337,1.511521883,1550.066313
1025,Clarke,16,AL,114,0.983919098,1.531415783,472.4801061
1025,Clarke,20,AL,118,0.984748011,1.525198939,489.0583554
1025,Clarke,24,AL,400,1.077586207,1.453498011,1657.824934
1027,Clay,1,AL,0,1.504086376,1.371372873,0
1027,Clay,4,AL,8,1.18767339,1.200419885,59.98350454
1027,Clay,8,AL,2,1.444852666,1.315138337,14.99587613
1027,Clay,12,AL,89,1.453100397,1.470345655,667.316488
1027,Clay,16,AL,55,1.318887306,1.444852666,412.3865937
1027,Clay,20,AL,79,1.395366274,1.453100397,592.3371073
1027,Clay,24,AL,71,1.501087201,1.543075654,532.3536028
1029,Cleburn,1,AL,0,2.196299276,1.519174041,0
1029,Cleburn,4,AL,0,1.59023867,1.269106999,0
1029,Cleburn,8,AL,7,2.066237597,1.242960579,46.92947171
1029,Cleburn,12,AL,24,2.024001073,1.318718155,160.9010459
1029,Cleburn,16,AL,88,2.1205417,1.258380263,589.9705015
1029,Cleburn,20,AL,104,2.064896755,1.386430679,697.2378654
1029,Cleburn,24,AL,106,2.005229284,1.348887101,710.6462859
1031,Coffee,1,AL,0,1.550462622,2.076768224,0
1031,Coffee,4,AL,73,1.033254617,1.604273934,141.3030854
1031,Coffee,8,AL,71,1.505942472,1.696798421,137.431768
1031,Coffee,12,AL,130,1.426580465,1.931400256,251.6356316
1031,Coffee,16,AL,193,1.4831017,1.803259649,373.58213
1031,Coffee,20,AL,335,1.33541094,1.867523518,648.4456661
1031,Coffee,24,AL,515,1.244434981,1.756416709,996.8642329
1033,Colbert,1,AL,0,1.700352376,2.163918862,0
1033,Colbert,4,AL,15,1.219623523,1.74033704,27.38675577
1033,Colbert,8,AL,96,1.631702909,1.922550255,175.2752369
1033,Colbert,12,AL,212,1.629511968,1.914516806,387.0661481
1033,Colbert,16,AL,146,1.607602563,1.989008782,266.5644228
1033,Colbert,20,AL,599,1.503532892,1.951580216,1093.644447
1033,Colbert,24,AL,454,1.474685509,1.957605302,828.9058078
1035,Conecuh,1,AL,0,1.545909311,0.872196224,0
1035,Conecuh,4,AL,6,1.010973052,0.764079393,48.41052122
1035,Conecuh,8,AL,92,1.565273519,0.845570437,742.2946587
1035,Conecuh,12,AL,54,1.501533,0.864127804,435.694691
1035,Conecuh,16,AL,11,1.246570921,0.877844118,88.75262224
1035,Conecuh,20,AL,65,1.299015653,0.826206229,524.4473132
1035,Conecuh,24,AL,72,1.311118283,0.823785703,580.9262546
1037,Coosa,1,AL,0,1.930835735,0.843171888,0
1037,Coosa,4,AL,19,1.633355025,0.769731338,176.6291717
1037,Coosa,8,AL,8,2.258994143,0.769731338,74.37017756
1037,Coosa,12,AL,26,1.895509901,0.784605373,241.7030771
1037,Coosa,16,AL,18,1.806265688,0.830157107,167.3328995
1037,Coosa,20,AL,86,1.721669611,0.810634935,799.4794088
1037,Coosa,24,AL,70,1.852747048,0.805057172,650.7390536
1039,Covingt,1,AL,0,1.294086022,2.583333333,0
1039,Covingt,4,AL,21,0.86155914,2.06639785,56.4516129
1039,Covingt,8,AL,129,1.405376344,2.255645161,346.7741936
1039,Covingt,12,AL,142,1.374462366,2.344892473,381.7204301
1039,Covingt,16,AL,148,1.286021505,2.434139785,397.8494624
1039,Covingt,20,AL,244,1.152956989,2.452688172,655.9139785
1039,Covingt,24,AL,271,1.030913979,2.333870968,728.4946237
1041,Crensha,1,AL,0,1.725657325,1.5768564,0
1041,Crensha,4,AL,8,1.212077434,1.265530194,57.78676683
1041,Crensha,8,AL,33,1.760329385,1.360156024,238.3704132
1041,Crensha,12,AL,87,1.659924877,1.506789945,628.4310893
1041,Crensha,16,AL,23,1.800780121,1.60213811,166.1369546
1041,Crensha,20,AL,40,1.627419821,1.605749783,288.9338342
1041,Crensha,24,AL,113,1.563854377,1.493787923,816.2380815
1043,Cullman,1,AL,0,1.364464775,2.525678008,0
1043,Cullman,4,AL,17,0.9857217,1.952494176,20.51826729
1043,Cullman,8,AL,138,1.469470025,2.183385031,166.5600521
1043,Cullman,12,AL,216,1.390776435,2.32399551,260.7026903
1043,Cullman,16,AL,135,1.328980242,2.386395182,162.9391814
1043,Cullman,20,AL,908,1.210215683,2.25230227,1095.916865
1043,Cullman,24,AL,544,1.162178799,2.244939833,656.5845534
1045,Dale,1,AL,0,1.789678755,1.58430911,0
1045,Dale,4,AL,17,1.248858494,1.281125069,34.49885342
1045,Dale,8,AL,70,1.611299389,1.338149644,142.0541023
1045,Dale,12,AL,124,1.653306817,1.452401729,251.6386955
1045,Dale,16,AL,176,1.606631897,1.443066745,357.1646001
1045,Dale,20,AL,243,1.494815025,1.397812367,493.1306695
1045,Dale,24,AL,351,1.39476835,1.309738823,712.2998559
1047,Dallas,1,AL,0,0.712151013,1.308845692,0
1047,Dallas,4,AL,21,0.5277274,1.064650438,53.64121689
1047,Dallas,8,AL,298,0.660297837,1.169889397,761.1944111
1047,Dallas,12,AL,125,0.62479246,1.219443664,319.2929577
1047,Dallas,16,AL,45,0.588265345,1.242688191,114.9454648
1047,Dallas,20,AL,200,0.563743646,1.112672099,510.8687323
1047,Dallas,24,AL,193,0.580602314,1.142813354,492.9883267
1049,DeKalb,1,AL,0,1.045856121,1.729490955,0
1049,DeKalb,4,AL,43,0.772963119,1.406534848,60.30009816
1049,DeKalb,8,AL,134,1.162670032,1.545225074,187.9119338
1049,DeKalb,12,AL,269,1.076567101,1.663581545,377.2261955
1049,DeKalb,16,AL,363,1.048240079,1.735100266,509.0450147
1049,DeKalb,20,AL,712,0.946290843,1.542700884,998.4574394
1049,DeKalb,24,AL,443,0.956247371,1.600476792,621.2312439
1051,Elmore,1,AL,1,2.000887311,2.041925466,1.232377009
1051,Elmore,4,AL,44,1.372128562,1.628339742,54.22458839
1051,Elmore,8,AL,254,2.01974268,1.82835453,313.0237602
1051,Elmore,12,AL,267,1.909937888,2.009144237,329.0446613
1051,Elmore,16,AL,258,1.820713793,1.922261658,317.9532683
1051,Elmore,20,AL,580,1.716084985,1.893793749,714.7786651
1051,Elmore,24,AL,811,1.68256433,1.858424529,999.4577541
1053,Escambi,1,AL,0,1.208948377,1.46126238,0
1053,Escambi,4,AL,16,0.769085463,1.15038994,43.17672774
1053,Escambi,8,AL,58,1.146072267,1.22217125,156.5156381
1053,Escambi,12,AL,220,1.091831503,1.385972961,593.6800065
1053,Escambi,16,AL,77,1.078878485,1.408101034,207.7880023
1053,Escambi,20,AL,154,1.038940011,1.313112233,415.5760045
1053,Escambi,24,AL,368,0.979572011,1.261030305,993.0647381
1055,Etowah,1,AL,0,1.148927473,2.220578503,0
1055,Etowah,4,AL,57,0.75641375,1.631077977,55.47553237
1055,Etowah,8,AL,109,1.235547164,1.868941488,106.08479
1055,Etowah,12,AL,398,1.122746915,2.036049364,387.3554716
1055,Etowah,16,AL,315,1.090921478,2.061548643,306.5753105
1055,Etowah,20,AL,1307,1.026200023,1.974150348,1272.044225
1055,Etowah,24,AL,820,1.015591544,1.974053023,798.0690622
1057,Fayette,1,AL,0,1.75336486,1.672123196,0
1057,Fayette,4,AL,2,1.369588941,1.474475567,12.12562144
1057,Fayette,8,AL,42,1.732145022,1.512064993,254.6380502
1057,Fayette,12,AL,80,1.720019401,1.581181036,485.0248575
1057,Fayette,16,AL,41,1.594519219,1.755789984,248.5752395
1057,Fayette,20,AL,222,1.624833273,1.596338062,1345.94398
1057,Fayette,24,AL,188,1.593306657,1.627258397,1139.808415
1059,Frankli,1,AL,0,1.366236573,1.70628615,0
1059,Frankli,4,AL,24,1.111358292,1.339541092,76.27280239
1059,Frankli,8,AL,177,1.367189983,1.463802199,562.5119176
1059,Frankli,12,AL,158,1.410729041,1.480645776,502.1292824
1059,Frankli,16,AL,105,1.361469523,1.556918579,333.6935105
1059,Frankli,20,AL,261,1.291234984,1.549291299,829.466726
1059,Frankli,24,AL,198,1.234030382,1.514015127,629.2506197
1061,Geneva,1,AL,0,1.858273082,1.665972669,0
1061,Geneva,4,AL,6,1.427489874,1.467994095,22.71264716
1061,Geneva,8,AL,4,1.819283037,1.494492183,15.14176477
1061,Geneva,12,AL,74,1.669379566,1.587992581,280.1226483
1061,Geneva,16,AL,168,1.782942802,1.678464625,635.9541205
1061,Geneva,20,AL,147,1.753416361,1.626225537,556.4598554
1061,Geneva,24,AL,258,1.565658478,1.542188742,976.6438278
1063,Greene,1,AL,0,1.562950505,0.610283518,0
1063,Greene,4,AL,31,1.195338779,0.60427679,372.4171072
1063,Greene,8,AL,56,1.558145123,0.630706391,672.7534839
1063,Greene,12,AL,19,1.430802499,0.625901009,228.2556463
1063,Greene,16,AL,22,1.480057665,0.589860644,264.2960115
1063,Greene,20,AL,64,1.227775108,0.55622297,768.8611245
1063,Greene,24,AL,42,1.335896204,0.58024988,504.5651129
1065,Hale,1,AL,0,1.573367547,1.172935377,0
1065,Hale,4,AL,32,1.208724424,1.027078128,216.0848133
1065,Hale,8,AL,65,1.5375785,1.102707813,438.922277
1065,Hale,12,AL,56,1.597677088,1.120264704,378.1484233
1065,Hale,16,AL,61,1.453170369,1.107434668,411.9116753
1065,Hale,20,AL,114,1.396448106,1.112161523,769.8021473
1065,Hale,24,AL,193,1.492335742,1.078398271,1303.26153
1067,Henry,1,AL,0,2.167162785,1.392634098,0
1067,Henry,4,AL,12,1.593999883,1.230374132,70.04027316
1067,Henry,8,AL,27,2.062686045,1.190684644,157.5906146
1067,Henry,12,AL,44,1.874744645,1.289908364,256.8143349
1067,Henry,16,AL,96,1.829218467,1.375707699,560.3221853
1067,Henry,20,AL,76,1.794198331,1.28640635,443.5883967
1067,Henry,24,AL,145,1.793614662,1.260724917,846.3199673
1069,Houston,1,AL,0,1.553360967,2.51532922,0
1069,Houston,4,AL,43,0.995874004,1.970544975,41.06893851
1069,Houston,8,AL,115,1.533399553,2.177035778,109.8355332
1069,Houston,12,AL,274,1.445435617,2.269488644,261.6950966
1069,Houston,16,AL,664,1.424996657,2.386200837,634.1808179
1069,Houston,20,AL,646,1.321082692,2.273977574,616.9891693
1069,Houston,24,AL,895,1.222803767,2.140169242,854.806976
1071,Jackson,1,AL,0,1.152318136,1.659916686,0
1071,Jackson,4,AL,23,0.841047597,1.34112474,44.35701612
1071,Jackson,8,AL,61,1.158296691,1.429067346,117.642521
1071,Jackson,12,AL,364,1.02252565,1.602059708,701.9979943
1071,Jackson,16,AL,217,1.130911055,1.542467022,418.4988043
1071,Jackson,20,AL,898,0.939211602,1.492710021,1731.852195
1071,Jackson,24,AL,456,1.009989972,1.490781455,879.4260588
1073,Jeffers,1,AL,2,1.064970895,2.094197187,0.303177298
1073,Jeffers,4,AL,242,0.644009217,1.440789474,36.68445307
1073,Jeffers,8,AL,878,1.002728596,1.69899042,133.0948339
1073,Jeffers,12,AL,2597,0.984765341,1.752228353,393.6757216
1073,Jeffers,16,AL,1590,0.928480475,1.805602717,241.025952
1073,Jeffers,20,AL,5684,0.918111812,1.710010914,861.6298812
1073,Jeffers,24,AL,5010,0.854550691,1.64382731,759.4591317
1075,Lamar,1,AL,0,1.762333453,2.105869644,0
1075,Lamar,4,AL,3,1.406553835,1.85235866,21.60604969
1075,Lamar,8,AL,26,1.868923299,1.954627296,187.2524307
1075,Lamar,12,AL,50,1.8696435,1.91717681,360.1008282
1075,Lamar,16,AL,41,1.625495139,2.086424199,295.2826792
1075,Lamar,20,AL,133,1.557796183,2.025207058,957.8682031
1075,Lamar,24,AL,69,1.695354699,2.022326251,496.939143
1077,Lauderd,1,AL,0,1.269285622,2.491896798,0
1077,Lauderd,4,AL,5,0.871688491,1.823976836,5.402134924
1077,Lauderd,8,AL,114,1.298133022,2.051190631,123.1686763
1077,Lauderd,12,AL,214,1.342754657,2.143567138,231.2113747
1077,Lauderd,16,AL,196,1.25361943,2.205367561,211.763689
1077,Lauderd,20,AL,869,1.197005056,2.094623795,938.8910497
1077,Lauderd,24,AL,683,1.110462855,2.074203725,737.9316306
1079,Lawrenc,1,AL,0,1.435961038,1.586302862,0
1079,Lawrenc,4,AL,4,1.0889951,1.322826547,12.09994555
1079,Lawrenc,8,AL,22,1.42900357,1.3999637,66.54970053
1079,Lawrenc,12,AL,76,1.334926493,1.509468207,229.8989655
1079,Lawrenc,16,AL,83,1.367898845,1.540323069,251.0738702
1079,Lawrenc,20,AL,220,1.31768407,1.458043439,665.4970053
1079,Lawrenc,24,AL,224,1.292274185,1.435356041,677.5969508
1081,Lee,1,AL,0,1.774970215,1.826846704,0
1081,Lee,4,AL,136,0.878549444,1.465324662,84.3923749
1081,Lee,8,AL,249,1.243980838,1.631875496,154.5125099
1081,Lee,12,AL,399,1.736559273,1.866374603,247.5923352
1081,Lee,16,AL,381,1.254157566,2.226779686,236.4227562
1081,Lee,20,AL,650,1.253412927,2.009903693,403.3459095
1081,Lee,24,AL,1418,1.3531945,1.808354845,879.9146148
1083,Limesto,1,AL,1,1.445416829,1.695609488,1.055665227
1083,Limesto,4,AL,5,0.923812641,1.36402504,5.278326137
1083,Limesto,8,AL,150,1.447105894,1.477825752,158.3497841
1083,Limesto,12,AL,269,1.335944345,1.610734004,283.9739462
1083,Limesto,16,AL,351,1.339216908,1.611578536,370.5384948
1083,Limesto,20,AL,723,1.236183981,1.579908579,763.2459594
1083,Limesto,24,AL,717,1.212748213,1.527864284,756.9119681
1085,Lowndes,1,AL,0,1.92677845,0.787776565,0
1085,Lowndes,4,AL,24,1.351324536,0.687568211,238.118861
1085,Lowndes,8,AL,142,1.974402222,0.682607402,1408.869928
1085,Lowndes,12,AL,32,1.765056057,0.688560373,317.4918147
1085,Lowndes,16,AL,22,1.82855442,0.711380097,218.2756226
1085,Lowndes,20,AL,58,1.645004465,0.667724973,575.4539141
1085,Lowndes,24,AL,118,1.691636075,0.664748487,1170.751067
1087,Macon,1,AL,0,1.685909771,0.776673081,0
1087,Macon,4,AL,20,1.051956382,0.640902288,106.9061364
1087,Macon,8,AL,45,1.180243746,0.632884328,240.5388069
1087,Macon,12,AL,50,1.325636092,0.648385717,267.265341
1087,Macon,16,AL,26,1.256147103,0.701838786,138.9779773
1087,Macon,20,AL,91,1.183985461,0.608830447,486.4229207
1087,Macon,24,AL,140,1.155120804,0.57996579,748.3429549
1089,Madison,1,AL,0,0.802537292,2.081148075,0
1089,Madison,4,AL,25,0.481925383,1.428220473,6.900815953
1089,Madison,8,AL,291,0.767149908,1.691721229,80.32549769
1089,Madison,12,AL,899,0.796713003,1.786096788,248.1533417
1089,Madison,16,AL,618,0.814351489,1.653739138,170.5881704
1089,Madison,20,AL,2563,0.687735318,1.690341066,707.4716515
1089,Madison,24,AL,2696,0.667998984,1.598808643,744.1839923
1091,Marengo,1,AL,0,1.427979918,1.782516433,0
1091,Marengo,4,AL,24,1.020133534,1.422804203,124.217173
1091,Marengo,8,AL,58,1.326018322,1.495781792,300.1915015
1091,Marengo,12,AL,79,1.28202474,1.576005383,408.8815279
1091,Marengo,16,AL,134,1.146938564,1.563066094,693.5458827
1091,Marengo,20,AL,119,1.206459293,1.594120387,615.9101496
1091,Marengo,24,AL,197,1.220433725,1.51855494,1019.615962
1093,Marion,1,AL,0,1.656733409,2.145248778,0
1093,Marion,4,AL,30,1.322574165,1.780620103,100.4486707
1093,Marion,8,AL,41,1.747472042,1.903167481,137.27985
1093,Marion,12,AL,86,1.632290899,2.049487712,287.9528561
1093,Marion,16,AL,63,1.611531507,2.085984062,210.9422085
1093,Marion,20,AL,182,1.50706489,2.063550526,609.3886024
1093,Marion,24,AL,192,1.541552267,2.022031742,642.8714927
1095,Marshal,1,AL,0,1.274008553,2.062147779,0
1095,Marshal,4,AL,195,0.944345117,1.540938699,203.8831906
1095,Marshal,8,AL,320,1.3807597,1.785703083,334.5775436
1095,Marshal,12,AL,435,1.294187761,1.889526677,454.8163483
1095,Marshal,16,AL,188,1.274113108,1.922147988,196.5643069
1095,Marshal,20,AL,1293,1.151678638,1.760818879,1351.902387
1095,Marshal,24,AL,606,1.15303786,1.77629309,633.6062231
1097,Mobile,1,AL,0,0.649917656,1.994764727,0
1097,Mobile,4,AL,463,0.36349894,1.51728751,111.8049619
1097,Mobile,8,AL,569,0.585201177,1.684874213,137.4017783
1097,Mobile,12,AL,2795,0.56711437,1.786633632,674.9349213
1097,Mobile,16,AL,551,0.490806879,1.839638361,133.0551491
1097,Mobile,20,AL,1536,0.516765915,1.760650449,370.9123575
1097,Mobile,24,AL,2979,0.463592151,1.638413577,719.3671308
1099,Monroe,1,AL,0,0.850963799,1.403855195,0
1099,Monroe,4,AL,5,0.621062529,1.139633286,23.50728726
1099,Monroe,8,AL,105,0.843441467,1.278326281,493.6530324
1099,Monroe,12,AL,59,0.816643159,1.349788434,277.3859897
1099,Monroe,16,AL,23,0.78890456,1.359661495,108.1335214
1099,Monroe,20,AL,95,0.735778091,1.311706629,446.6384579
1099,Monroe,24,AL,115,0.768218148,1.259520451,540.667607
1101,Montgom,1,AL,1,1.028373013,1.611035467,0.440643163
1101,Montgom,4,AL,182,0.593326019,1.132276671,80.19705562
1101,Montgom,8,AL,1220,0.822768914,1.304435955,537.5846586
1101,Montgom,12,AL,1017,0.900145853,1.40688549,448.1340965
1101,Montgom,16,AL,341,0.846387387,1.417416862,150.2593185
1101,Montgom,20,AL,941,0.818450611,1.370884944,414.6452162
1101,Montgom,24,AL,2001,0.766719103,1.299544816,881.7269687
1103,Morgan,1,AL,0,1.195926619,2.144229237,0
1103,Morgan,4,AL,19,0.875911184,1.626248815,15.93785913
1103,Morgan,8,AL,398,1.428451595,1.851056512,333.856207
1103,Morgan,12,AL,343,1.148532459,2.04105257,287.720299
1103,Morgan,16,AL,327,1.203476131,1.993322876,274.2989439
1103,Morgan,20,AL,1492,1.051898702,1.902896496,1251.541359
1103,Morgan,24,AL,843,1.038896765,1.843590884,707.1376444
1105,Perry,1,AL,0,1.497901646,0.927579899,0
1105,Perry,4,AL,6,1.094372108,0.783385344,64.56472614
1105,Perry,8,AL,43,1.310663941,0.90928656,462.7138707
1105,Perry,12,AL,43,1.322500807,0.879156354,462.7138707
1105,Perry,16,AL,24,1.112665447,0.894221457,258.2589046
1105,Perry,20,AL,47,1.226729797,0.764015926,505.7570214
1105,Perry,24,AL,63,1.352631013,0.781233186,677.9296245
1107,Pickens,1,AL,0,1.240922788,1.315022477,0
1107,Pickens,4,AL,26,0.936126068,1.092229413,128.4394606
1107,Pickens,8,AL,33,1.277478635,1.147063182,163.0193153
1107,Pickens,12,AL,73,1.196956973,1.156943141,360.6184854
1107,Pickens,16,AL,47,1.151509164,1.181149039,232.1790249
1107,Pickens,20,AL,178,1.336264388,1.047275601,879.3163069
1107,Pickens,24,AL,108,1.193992985,1.100133379,533.5177592
1109,Pike,1,AL,0,1.86901869,1.671316713,0
1109,Pike,4,AL,40,1.035310353,1.399513995,120.0012
1109,Pike,8,AL,132,1.393513935,1.467914679,396.00396
1109,Pike,12,AL,127,1.623316233,1.666216662,381.00381
1109,Pike,16,AL,65,1.389913899,2.122221222,195.00195
1109,Pike,20,AL,123,1.419914199,1.749317493,369.00369
1109,Pike,24,AL,273,1.400714007,1.74301743,819.0081901
1111,Randolp,1,AL,0,1.382081512,1.674835519,0
1111,Randolp,4,AL,38,1.134808142,1.404159491,167.7926436
1111,Randolp,8,AL,13,1.492471409,1.508367554,57.4027465
1111,Randolp,12,AL,25,1.496445445,1.494237647,110.3898971
1111,Randolp,16,AL,88,1.268159138,1.541042964,388.5724379
1111,Randolp,20,AL,108,1.479224621,1.483640217,476.8843555
1111,Randolp,24,AL,127,1.325561885,1.445666093,560.7806774
1113,Russell,1,AL,0,1.801836002,1.131453617,0
1113,Russell,4,AL,33,1.179596908,0.933358642,56.94367753
1113,Russell,8,AL,160,1.570437604,0.957516565,276.0905577
1113,Russell,12,AL,247,1.555942849,1.028954997,426.2147985
1113,Russell,16,AL,83,1.490716455,1.093146052,143.2219768
1113,Russell,20,AL,217,1.472598012,1.081412203,374.4478189
1113,Russell,24,AL,458,1.413756212,0.992890668,790.3092214
1115,St. Cla,1,AL,0,2.096739365,2.280739638,0
1115,St. Cla,4,AL,26,1.524508745,1.846708111,29.54914819
1115,St. Cla,8,AL,56,2.110945686,1.971496437,63.64431918
1115,St. Cla,12,AL,273,2.032072191,2.101853641,310.266056
1115,St. Cla,16,AL,249,1.951266636,2.206980418,282.9899192
1115,St. Cla,20,AL,774,1.793405994,2.106172363,879.6554115
1115,St. Cla,24,AL,631,1.762038437,2.089352078,717.1350964
1117,Shelby,1,AL,0,1.694263278,2.274822894,0
1117,Shelby,4,AL,109,0.999803216,1.684283519,51.07013007
1117,Shelby,8,AL,204,1.606741257,1.957719555,95.58079388
1117,Shelby,12,AL,584,1.498838037,2.089002586,273.6234492
1117,Shelby,16,AL,666,1.50984857,2.075696241,312.04318
1117,Shelby,20,AL,1741,1.355701113,2.063842348,815.7164811
1117,Shelby,24,AL,1703,1.373224259,2.003167285,797.9122156
1119,Sumter,1,AL,0,1.405798234,1.106509338,0
1119,Sumter,4,AL,33,1.039306087,0.782214582,257.872939
1119,Sumter,8,AL,31,1.171368289,0.796280378,242.244276
1119,Sumter,12,AL,13,1.197937017,0.879893725,101.5863093
1119,Sumter,16,AL,17,1.204188482,0.954911307,132.8436352
1119,Sumter,20,AL,54,1.172931156,0.81894194,421.9739001
1119,Sumter,24,AL,41,1.130733766,0.800187544,320.3875908
1121,Tallade,1,AL,0,1.55883414,1.948324978,0
1121,Tallade,4,AL,22,1.085872094,1.550499459,27.36760919
1121,Tallade,8,AL,51,1.614688942,1.682859169,63.44309403
1121,Tallade,12,AL,391,1.586699342,1.833505418,486.3970543
1121,Tallade,16,AL,203,1.518777912,1.832759028,252.5283939
1121,Tallade,20,AL,569,1.399355617,1.713958725,707.8258923
1121,Tallade,24,AL,660,1.380695884,1.701270106,821.0282757
1123,Tallapo,1,AL,0,1.44643694,1.763153351,0
1123,Tallapo,4,AL,208,1.340864804,1.48590316,513.060852
1123,Tallapo,8,AL,73,1.881058681,1.634641474,180.0646259
